molIdx	molSmiles	molregno	validMol	scafSmiles	inDB	scafID	pScore	inDrug	substancesTested	substancesActive	assaysTested	assaysActive	samplesTested	samplesActive
0	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23	148	True	O=c1oc2cccc3c(=O)oc4cccc1c4c23	True	92138	130.0	False	1	1	532	77	532	77
1	Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21	213	True	O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12	True	421		False	0	0	0	0	0	0
1	Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21	213	True	O=C1C=C(c2c[nH]c3ccccc23)C(=O)N1	True	422	9.0	False	1	1	485	20	485	20
1	Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21	213	True	c1ccc2[nH]ccc2c1	True	2	370.0	True	7634	6228	820	736	3721709	33327
1	Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21	213	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
2	Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21	222	True	O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12	True	421		False	0	0	0	0	0	0
2	Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21	222	True	O=C1C=C(c2c[nH]c3ccccc23)C(=O)N1	True	422	9.0	False	1	1	485	20	485	20
2	Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21	222	True	c1ccc2[nH]ccc2c1	True	2	370.0	True	7634	6228	820	736	3721709	33327
2	Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21	222	True	O=C1C=CC(=O)N1	True	423	536.0	False	197	181	820	367	101348	2385
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1ccc(-c2nc(-c3ccccc3)c(-c3ccncc3)[nH]2)cc1	True	3025		False	0	0	0	0	0	0
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1ccc(-c2nc[nH]c2-c2ccncc2)cc1	True	3026		False	0	0	0	0	0	0
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1ccc(-c2ncc(-c3ccncc3)[nH]2)cc1	True	3030		False	0	0	0	0	0	0
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1ccc(-c2c[nH]c(-c3ccccc3)n2)cc1	True	3028	56.0	False	16	15	718	69	9015	129
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1cc(-c2cnc[nH]2)ccn1	True	3027		False	0	0	0	0	0	0
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1ccc(-c2c[nH]cn2)cc1	True	708	188.0	True	391	271	820	310	114419	1473
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1ccc(-c2ncc[nH]2)cc1	True	3029	153.0	False	89	83	820	222	50319	560
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1ccncc1	True	17	328.0	True	32699	25861	820	783	17065125	131358
3	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	250	True	c1c[nH]cn1	True	26	278.0	True	5114	3964	823	703	2407253	17925
4	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	924	True	O=C1CC=CCCCCC2CCCC(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C=CC2CCCCC2)CCC1	True	109019	11.0	True	2	2	380	16	395	16
4	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC	924	True	C1CCCCC1	True	25	225.0	True	13597	9839	820	743	6498233	39524
